Timestamp, RX_Bytes, TX_Bytes
1734798183, 0, 0
1734798184, 60552, 53687
1734798185, 77306, 70993
1734798186, 118774, 41511329
1734798187, 88426909, 322531329
1734798188, 88583153, 462299377
1734798189, 265621417, 798467963
1734798190, 707747508, 1495411236
1734798191, 974415550, 2000578916
1734798192, 1150473934, 2437320313
1734798193, 1454568583, 2901636078
1734798194, 1744393199, 3497188157
1734798195, 1858962238, 3891184974
1734798196, 2212672259, 4456085158
1734798197, 2213003397, 4770629746
1734798198, 2390441895, 5254038672
1734798199, 2745330392, 5869147141
1734798200, 2745507074, 6001390379
1734798201, 2745787109, 6212331285
1734798202, 2974389915, 6663761668
1734798203, 3363439715, 7215268560
1734798204, 3363889821, 7608093268
1734798205, 3614902233, 7796742415
1734798206, 3716852353, 8311451432
1734798207, 3716872993, 8311473128
1734798208, 3716899305, 8311491766
1734798209, 3716923659, 8311515208
1734798210, 3716940621, 8311524562
1734798211, 3716997739, 8311588326
1734798212, 3717039741, 8311642724
1734798213, 3717059747, 8311661736
1734798214, 3717093693, 8311687630
