Timestamp, RX_Bytes, TX_Bytes
1734806760, 0, 0
1734806761, 13926, 13926
1734806762, 60544, 60544
1734806763, 88112811, 64669185
1734806764, 264505218, 632602237
1734806765, 553003005, 1152502786
1734806766, 706334979, 1628143847
1734806767, 1124952463, 2273163371
1734806768, 1390587909, 2815275859
1734806769, 1765533339, 3471808858
1734806770, 2030184727, 4095823012
1734806771, 2293811535, 4678883885
1734806772, 2646332451, 5366598582
1734806773, 2974474684, 6002972688
1734806774, 3438312155, 6770680929
1734806775, 3878853205, 7687330259
1734806776, 3967626391, 8107075504
1734806777, 4055716435, 8357680704
1734806778, 4568020105, 9063763902
1734806779, 4935707593, 9953230462
1734806780, 5266508341, 10526262882
1734806781, 5640092512, 11214955025
1734806782, 5815797329, 11610270350
1734806783, 5815825851, 11610325969
1734806784, 5815835471, 11610335421
1734806785, 5815872739, 11610372821
1734806786, 5815882023, 11610382105
