Timestamp, RX_Bytes, TX_Bytes
1734960009, 0, 0
1734960010, 141906, 81174
1734960011, 281776, 443225
1734960012, 369813, 502173
1734960013, 96649882, 220595173
1734960014, 402713737, 616602228
1734960015, 464766731, 858403644
1734960016, 707162866, 1364345936
1734960017, 795208606, 1570329215
1734960018, 883389186, 1971443317
1734960019, 1115810954, 2339167953
1734960020, 1150985464, 2640605394
1734960021, 1623182558, 3193181563
1734960022, 1924596628, 3806763982
1734960023, 2123911406, 4290057384
1734960024, 2565747342, 4882308755
1734960025, 2742700569, 5317408213
1734960026, 2919247906, 5719335705
1734960027, 3043285115, 6073330361
1734960028, 3272519727, 6588244327
1734960029, 3630365230, 7172405924
1734960030, 3892955727, 7564370731
1734960031, 4069242239, 7883199868
1734960032, 4249501034, 8443010975
1734960033, 4249620027, 8443043487
1734960034, 4249712049, 8443127095
1734960035, 4249813533, 8443157551
1734960036, 4249894157, 8443247653
1734960037, 4249982951, 8443278793
1734960038, 4250096769, 8443406055
