Timestamp, RX_Bytes, TX_Bytes
1734806391, 0, 0
1734806392, 51934, 49877
1734806393, 71808, 64083
1734806394, 90540, 99205
1734806395, 89020844, 224096290
1734806396, 266203491, 577956157
1734806397, 442346196, 1121904213
1734806398, 521820210, 1391969438
1734806399, 725671231, 1907104063
1734806400, 975425702, 2322976868
1734806401, 1034112295, 2687710998
1734806402, 1419647826, 3324773539
1734806403, 1419877331, 3611652665
1734806404, 1684390063, 4089996966
1734806405, 2037521727, 4681309366
1734806406, 2279727338, 5158039202
1734806407, 2479671668, 5686132846
1734806408, 2749652890, 6294222060
1734806409, 3069752354, 6743323314
1734806410, 3457315318, 7617432221
1734806411, 3633809431, 7966990390
1734806412, 3721858521, 8165680591
1734806413, 3721906850, 8187680077
1734806414, 3721955228, 8187738645
1734806415, 3721978512, 8187760479
1734806416, 3722008316, 8187789011
