Timestamp, RX_Bytes, TX_Bytes
1734754474, 0, 0
1734754475, 45904, 163897
1734754476, 82168, 312633
1734754477, 107584, 339245
1734754478, 173995257, 264639583
1734754479, 176881207, 484351659
1734754480, 265172108, 647159717
1734754481, 442223220, 1010830525
1734754482, 618599605, 1343289530
1734754483, 707568921, 1584660446
1734754484, 911679624, 2060659822
1734754485, 1060738270, 2546443015
1734754486, 1238919983, 2790008800
1734754487, 1459139762, 3303172665
1734754488, 1704030077, 3720305309
1734754489, 2031898529, 4101216822
1734754490, 2209687410, 4760977309
1734754491, 2386997886, 5083268813
1734754492, 2475723885, 5302709107
1734754493, 2828937071, 5873686276
1734754494, 3173788192, 6171325139
1734754495, 3269611769, 6633635805
1734754496, 3533606043, 7024407637
1734754497, 3710514205, 7654306985
1734754498, 3710848422, 7896961588
1734754499, 3799379028, 8118618227
1734754501, 4153089576, 8821146258
1734754502, 4243239326, 8975399831
1734754503, 4243269136, 8975421291
1734754504, 4243287120, 8975437587
1734754505, 4243335596, 8975495864
