Timestamp, RX_Bytes, TX_Bytes
1735013498, 0, 0
1735013499, 27740, 19263
1735013500, 58870, 165767
1735013501, 101210, 210155
1735013502, 176047463, 283172354
1735013503, 353251708, 609835479
1735013504, 706089265, 1222790857
1735013505, 706402914, 1497006586
1735013506, 794552044, 1872065175
1735013507, 794820726, 2048623011
1735013508, 883183945, 2388651208
1735013509, 1154231851, 2763546853
1735013510, 1326047623, 3344997305
1735013511, 1630429080, 3772648374
1735013512, 2035454051, 4467496087
1735013513, 2300762184, 5115570116
1735013514, 2500396581, 5508899923
1735013515, 2566573027, 5939234070
1735013516, 2654761071, 6120657413
1735013517, 3007185326, 6739239510
1735013518, 3183225874, 7273614540
1735013519, 3536462382, 7832367730
1735013520, 3680008685, 8052408838
1735013521, 3712353216, 8184044056
1735013522, 3712377778, 8184068684
1735013523, 3712395914, 8184079662
