Timestamp, RX_Bytes, TX_Bytes
1736262597, 132, 0
1736262598, 36371, 33314
1736262599, 169135501, 3923386
1736262600, 306046960, 7091373
1736262601, 506523503, 11733418
1736262602, 671715594, 15687103
1736262603, 776732085, 18112013
1736262604, 935262355, 21778416
1736262605, 1053944122, 24424944
1736262606, 1053976842, 24431304
1736262607, 1053983834, 24437586
1736262608, 1054020155, 24470599
1736262609, 1054026889, 24476439
1736262610, 1054065074, 24488014
1736262611, 1054072078, 24494490
1736262612, 1054104608, 24500162
