Timestamp, RX_Bytes, TX_Bytes
1734750249, 0, 0
1734750250, 22118, 82590
1734750251, 86376, 138948
1734750252, 131148, 256733
1734750253, 255273329, 212470369
1734750255, 525053558, 879762467
1734750256, 528930554, 1187633519
1734750257, 697007485, 1363681385
1734750258, 970170181, 1847553912
1734750259, 1319491136, 2374550306
1734750260, 1323647222, 2661192770
1734750261, 1411851520, 2858863610
1734750262, 1766359933, 3356332270
1734750263, 2031143056, 3913767469
1734750264, 2370065725, 4287202640
1734750265, 2722350644, 4930167849
1734750266, 2912589671, 5473721923
1734750267, 3427954635, 6115504243
1734750268, 3530022707, 6616565692
1734750269, 3530354282, 6859943376
1734750270, 3618340198, 7081115775
1734750271, 3884699119, 7695719668
1734750272, 4149053790, 8147456848
1734750273, 4237017186, 8350059747
1734750274, 4678428818, 9101470535
1734750275, 4678654965, 9242990462
1734750276, 4766548853, 9367358394
1734750277, 4766571315, 9367426812
1734750278, 4766611039, 9367478258
1734750279, 4766667429, 9367583978
1734750280, 4766706315, 9367613196
