Timestamp, RX_Bytes, TX_Bytes
1734966874, 0, 0
1734966875, 15904, 16172
1734966876, 20546, 20814
1734966877, 126856, 76893068
1734966878, 9863890, 176265569
1734966879, 226320700, 431093504
1734966880, 592478813, 1056326464
1734966881, 1062087406, 1738846297
1734966882, 1320097955, 2136988985
1734966883, 1590210340, 2705456958
1734966884, 1766978852, 3254287801
1734966885, 2064093295, 3726231097
1734966886, 2314509016, 4265867155
1734966887, 2382834561, 4441660531
1734966888, 2457102908, 4621849477
1734966889, 2823982288, 5081707168
1734966890, 3353119682, 5708716801
1734966891, 3552281924, 6377217436
1734966892, 3793525591, 6733311238
1734966893, 3970893384, 7210320806
1734966894, 4058927785, 7460021395
1734966895, 4588661413, 8131632991
1734966896, 4764960794, 8440648483
1734966897, 4764970210, 8440657833
1734966898, 4764979764, 8440667285
1734966899, 4764989948, 8440684799
1734966900, 4765003940, 8440698725
1734966901, 4765027002, 8440721211
1734966902, 4765069008, 8440763283
1734966903, 4765070084, 8440784132
1734966904, 4765074858, 8440797474
1734966905, 4765075128, 8440797634
