Timestamp, RX_Bytes, TX_Bytes
1734785760, 0, 0
1734785761, 104942, 103302
1734785762, 282455, 568554
1734785763, 368127, 630448
1734785764, 625191, 111810848
1734785765, 177076688, 573229032
1734785766, 395183666, 1015323782
1734785767, 618562345, 1548336378
1734785768, 693754046, 1913436225
1734785769, 830280541, 2492551347
1734785770, 1062056886, 3080759103
1734785771, 1449173147, 3614580652
1734785772, 1681136246, 4377985250
1734785773, 1857376850, 4839654845
1734785774, 1945747932, 5341098382
1734785775, 1946216764, 5660954009
1734785776, 2034614709, 6005155024
1734785777, 2123015635, 6431890346
1734785778, 2300555179, 6920511354
1734785779, 2389147975, 7241640315
1734785780, 2389691448, 7622862671
1734785781, 2566695795, 8129989270
1734785782, 2655132012, 8493119441
1734785783, 2655364794, 8591659192
1734785784, 2655489325, 8591712204
