Timestamp, RX_Bytes, TX_Bytes
1740362671, 0, 0
1740362672, 12643, 66308
1740362673, 35232984, 66484364
1740362674, 107313710, 185915519
1740362675, 167443951, 305350139
1740362676, 217488483, 424924603
1740362677, 267405699, 544426050
1740362678, 329104387, 664032335
1740362679, 382902910, 783450850
1740362680, 429105452, 903089783
1740362681, 455669857, 1022605847
1740362682, 488099402, 1114297892
1740362683, 532133633, 1203235226
1740362684, 546843069, 1244331287
1740362685, 573377098, 1318399363
1740362686, 638180781, 1437936228
1740362687, 677922329, 1557405474
1740362688, 729455329, 1676897412
1740362689, 785353181, 1796352048
1740362690, 823692896, 1915763400
1740362691, 881065576, 2035352577
1740362692, 926738970, 2154869628
1740362693, 961989857, 2262468757
1740362694, 982552375, 2324074411
1740362695, 994473271, 2362336800
1740362696, 994489577, 2362405530
1740362697, 994546359, 2362437852
1740362698, 994560093, 2362524866
1740362699, 994602591, 2362542442
1740362700, 994637987, 2362645042
1740362701, 994681587, 2362663438
1740362702, 994700411, 2362735398
