Timestamp, RX_Bytes, TX_Bytes
1734762115, 0, 0
1734762116, 16356, 15438
1734762117, 50388, 57652
1734762118, 149347, 96257108
1734762119, 307389541, 441100540
1734762120, 445440046, 908806399
1734762121, 621530310, 1213827115
1734762123, 798100275, 1650928351
1734762124, 886287990, 1863797012
1734762125, 1151373006, 2284356871
1734762126, 1237701660, 2620347971
1734762127, 1386679835, 2993655301
1734762128, 1416256844, 3301693619
1734762129, 1592021195, 3598969572
1734762130, 2021126104, 4213683513
1734762131, 2298827214, 4957398832
1734762132, 2474569327, 5255344618
1734762133, 2738336943, 5602575652
1734762134, 2915206118, 5917362060
1734762135, 3185180958, 6487852375
1734762136, 3355414707, 6774647605
1734762137, 3444289375, 7126257929
1734762138, 3620284181, 7482630645
1734762139, 3790335908, 7776142752
1734762140, 3884879299, 8158091777
1734762141, 3973137171, 8424270242
1734762142, 4239454744, 8835185236
1734762143, 4503655528, 9226435307
1734762144, 4773412350, 9625679197
1734762145, 4773566944, 9764808139
1734762146, 4773599504, 9764841029
1734762147, 4773609058, 9764850481
1734762148, 4773627824, 9764877013
1734762149, 4773627824, 9764877013
1734762150, 4773650200, 9764916908
1734762151, 4773686416, 9764952208
1734762152, 4773707420, 9764985926
1734762153, 4773720138, 9765006652
