Timestamp, RX_Bytes, TX_Bytes
1734760525, 0, 0
1734760526, 22148, 139927
1734760527, 45462, 280860
1734760528, 88305881, 124188036
1734760529, 265796632, 505555359
1734760530, 706852903, 1186802977
1734760531, 1061231546, 1788550019
1734760532, 1149294537, 2087106373
1734760533, 1415826304, 2572598181
1734760534, 1770434469, 2925225714
1734760535, 1947412335, 3486364778
1734760536, 2390255824, 4126402591
1734760537, 2655683178, 4755481950
1734760538, 3098440439, 5308230098
1734760539, 3453896818, 6001394824
1734760540, 3895401483, 6498068851
1734760541, 4160888783, 6903840686
1734760542, 4425167921, 7499833518
1734760543, 4425454792, 7698658119
1734760544, 4526884791, 8091503387
1734760545, 4866739596, 8530865907
1734760546, 5130673719, 9076663217
1734760547, 5306453216, 9341175387
1734760548, 5306476668, 9365781785
1734760549, 5306501190, 9365804999
1734760550, 5306555552, 9365851819
