Timestamp, RX_Bytes, TX_Bytes
1734789880, 0, 0
1734789881, 30766, 40790
1734789882, 65584, 85334
1734789883, 159830, 44532070
1734789884, 423333461, 401423601
1734789885, 530632172, 1013516227
1734789886, 620417928, 1328593613
1734789887, 708440729, 1594869919
1734789888, 974684373, 1929410510
1734789889, 975064294, 2258717670
1734789890, 1151549628, 2642188831
1734789891, 1455801833, 3104174525
1734789892, 1681894882, 3763975317
1734789893, 1770063695, 4103413980
1734789894, 2054963579, 4613352429
1734789895, 2319720323, 5153821919
1734789896, 2652919011, 5617547288
1734789897, 3076383777, 6282507544
1734789898, 3097626769, 6625388175
1734789899, 3185724644, 6862919842
1734789900, 3273709482, 7087523145
1734789901, 3625501722, 7490134995
1734789902, 3802341320, 7944799558
1734789903, 3980248761, 8549177301
1734789904, 4068311309, 8736334465
1734789905, 4244882752, 8978044737
1734789906, 4244936454, 8978100079
1734789907, 4244954068, 8978116613
1734789908, 4244981752, 8978136127
1734789909, 4245038870, 8978191871
1734789910, 4245065416, 8978210215
1734789911, 4245118294, 8978272507
