Timestamp, RX_Bytes, TX_Bytes
1734808066, 0, 0
1734808067, 50158, 50090
1734808068, 55626, 63364
1734808069, 142277761, 73056268
1734808070, 179427311, 373557374
1734808071, 339018050, 582918782
1734808072, 530915084, 997482976
1734808073, 531144030, 1210202947
1734808074, 707068171, 1452107703
1734808075, 889749810, 1916997736
1734808076, 1059522806, 2375786594
1734808077, 1323100409, 2886222409
1734808078, 1411736810, 2993228949
1734808079, 1764223027, 3629665166
1734808080, 1852166271, 3915682530
1734808081, 2028265487, 4135896671
1734808082, 2116468174, 4509786536
1734808083, 2116585358, 4640190300
1734808084, 2116695614, 4702091854
1734808085, 2204653587, 4950168291
1734808086, 2380485759, 5375204766
1734808087, 2468441983, 5633445450
1734808088, 2556794204, 5853397838
1734808089, 2556959048, 5942663675
1734808090, 2644741640, 6074307009
1734808091, 2644771986, 6074336463
1734808092, 2644781540, 6074345915
1734808093, 2644810828, 6074402789
1734808094, 2644810828, 6074402789
1734808095, 2644820178, 6074412073
1734808096, 2644829594, 6074421357
1734808097, 2644871438, 6074463135
