Timestamp, RX_Bytes, TX_Bytes
1734795500, 0, 0
1734795501, 4870, 4870
1734795502, 37430, 37562
1734795503, 127078, 44443248
1734795504, 157621939, 286864868
1734795505, 529584557, 912740183
1734795506, 779914352, 1189299873
1734795507, 1062092284, 1958548518
1734795508, 1150620614, 2265759026
1734795509, 1238683257, 2563528033
1734795510, 1326871949, 2918960178
1734795511, 1679523322, 3434984692
1734795512, 1856938779, 3905009880
1734795513, 2282893411, 4441435834
1734795514, 2385244732, 4928755566
1734795515, 2738008492, 5481551979
1734795516, 2738496858, 5847228316
1734795517, 2738691670, 6015513176
1734795519, 2826798058, 6343624823
1734795520, 2827069162, 6537388497
1734795521, 3091032559, 6908629519
1734795522, 3530670426, 7500563054
1734795523, 3618837040, 7840300362
1734795524, 3706724148, 8059699599
1734795525, 3706749164, 8059723153
1734795526, 3706763222, 8059737079
1734795527, 3706777214, 8059751005
1734795528, 3706825890, 8059809217
1734795529, 3706835868, 8059819169
1734795530, 3706836138, 8059819329
1734795531, 3706840780, 8059823971
1734795532, 3706889858, 8059872379
