Timestamp, RX_Bytes, TX_Bytes
1734761957, 0, 0
1734761958, 57352, 99659
1734761960, 83266, 241328
1734761961, 172971, 22294428
1734761962, 356313301, 552419568
1734761963, 356741314, 873715331
1734761964, 445771682, 1167383052
1734761965, 534831198, 1555454985
1734761966, 855677946, 2157354446
1734761967, 1030919109, 2677667223
1734761968, 1333263899, 3284315103
1734761969, 1666094498, 3838663020
1734761970, 1864697736, 4309839425
1734761971, 2075225154, 4813009833
1734761972, 2253767625, 5170633852
1734761973, 2393272066, 5699277353
1734761974, 2657736154, 6248725499
1734761975, 2835192010, 6700009600
1734761976, 3042830634, 7062995172
1734761977, 3101012297, 7525474972
1734761978, 3366443002, 8164857229
1734761979, 3633459143, 8728961087
1734761980, 3721494608, 9000616963
1734761981, 3721646795, 9110480877
1734761982, 3721701553, 9110527763
1734761983, 3721745857, 9110645319
