Timestamp, RX_Bytes, TX_Bytes
1734793336, 0, 0
1734793337, 22744, 15291
1734793338, 34142, 24998
1734793339, 97761, 21987130
1734793340, 176358206, 285465736
1734793341, 303706978, 395909078
1734793342, 655738569, 918367545
1734793343, 1258592837, 1600121732
1734793344, 1681970220, 2351172851
1734793345, 2133698995, 2861597870
1734793346, 2742488281, 3677494254
1734793347, 3182725676, 4374095115
1734793348, 3360445148, 4841248825
1734793349, 3536413425, 5078567469
1734793350, 3976705981, 5733827099
1734793351, 4416987461, 6385205528
1734793352, 4681147039, 6879682970
1734793353, 5035053028, 7442445325
1734793354, 5536065135, 7992843257
1734793355, 5918841954, 8659587585
1734793356, 6273997002, 9208295499
1734793357, 6362876832, 9362054093
1734793358, 6362915606, 9362091365
1734793359, 6362946956, 9362114381
1734793360, 6362966572, 9362137001
1734793361, 6362998066, 9362166395
