Timestamp, RX_Bytes, TX_Bytes
1740377897, 0, 0
1740377898, 8453604, 2780133
1740377899, 750042564, 704669600
1740377900, 2017562856, 1990808784
1740377901, 2529786149, 2511105103
1740377902, 2696807219, 2686223965
1740377903, 2762972810, 2761928180
1740377904, 2762979478, 2761935940
1740377905, 2974067700, 2953908041
1740377906, 3975055378, 3927337684
1740377907, 4881461809, 4869753021
1740377908, 4960997876, 4959133772
1740377909, 5127995267, 5116127574
1740377910, 5312581401, 5294833939
1740377911, 5488408336, 5472071360
1740377912, 5510617535, 5508537073
1740377913, 5510653921, 5508551715
1740377914, 5510660589, 5508559475
1740377915, 5510693623, 5508566901
1740377916, 5510702925, 5508573817
1740377917, 5510732635, 5508580961
1740377918, 5510744737, 5508594293
1740377919, 5510774381, 5508602383
