Timestamp, RX_Bytes, TX_Bytes
1734746312, 0, 0
1734746313, 27632, 55878
1734746314, 64834, 93278
1734746315, 168284981, 131824090
1734746316, 264831389, 486604070
1734746317, 341034684, 571607437
1734746318, 353012342, 750766934
1734746319, 426319923, 791346747
1734746320, 528788906, 1076510935
1734746321, 617131157, 1218108307
1734746322, 792782679, 1381157458
1734746323, 1026742561, 1582078810
1734746324, 1051813840, 1713786044
1734746325, 1129415805, 1890016649
1734746326, 1232564580, 2153402595
1734746327, 1320411861, 2307218176
1734746328, 1401434329, 2307336440
1734746329, 1408328406, 2483087998
1734746330, 1408393043, 2505092846
1734746331, 1408452319, 2549041180
1734746332, 1408513839, 2592901659
1734746333, 1408607707, 2680831440
1734746334, 1584184120, 2810846886
1734746335, 1584297200, 2922313810
1734746336, 1745351485, 3125993662
1734746337, 1848391090, 3444200516
1734746338, 2002356079, 3589850089
1734746339, 2024516883, 3711554330
1734746340, 2148550704, 3972600936
1734746341, 2288305415, 4270028427
1734746342, 2376177995, 4433154991
1734746343, 2630904457, 4746386873
1734746344, 2728560304, 4922069835
1734746345, 2728785595, 5097536522
1734746346, 2728933912, 5207659614
1734746347, 2729006014, 5251606592
1734746348, 2850779414, 5385426696
1734746349, 2905487615, 5581433998
1734746350, 2905560867, 5625370303
1734746351, 2993739332, 5801625528
1734746352, 2993779057, 5823564194
1734746353, 3207425720, 5889730187
1734746354, 3303860502, 6026225834
1734746355, 3331403807, 6242384015
1734746356, 3512701009, 6481396892
1734746357, 3625968580, 6747804503
1734746358, 3696938423, 6993547396
1734746359, 3785059560, 7054950230
1734746360, 3960861585, 7362660205
1734746361, 4137157422, 7717708418
1734746362, 4137308317, 7845395597
1734746363, 4302167848, 8021000283
1734746364, 4577902012, 8434815247
1734746366, 4696317457, 8631554626
1734746367, 4754584452, 8834322526
1734746368, 4754594066, 8834341410
1734746369, 4754609854, 8834357106
1734746370, 4754638628, 8834397956
1734746371, 4754680472, 8834440064
1734746372, 4754685114, 8834444706
1734746373, 4754715756, 8834483942
1734746374, 4754721540, 8834509108
1734746375, 4754735466, 8834523034
