Timestamp, RX_Bytes, TX_Bytes
1734979148, 0, 0
1734979149, 42886, 44330
1734979150, 76712, 300437
1734979151, 128632, 352803
1734979152, 176608676, 308407909
1734979153, 353768649, 698575117
1734979154, 529487389, 1078310914
1734979155, 706431802, 1430060053
1734979156, 883199946, 1712330766
1734979157, 1147482285, 2180239792
1734979158, 1323260378, 2506723470
1734979159, 1676194222, 3058190084
1734979160, 1814272184, 3496957690
1734979161, 1923286804, 3687259776
1734979162, 2118561382, 4151037660
1734979163, 2482668523, 4618679645
1734979164, 2735444804, 5321828499
1734979165, 2911575545, 5719729738
1734979166, 3089392294, 6173641129
1734979167, 3266205209, 6447849403
1734979168, 3354605390, 6759523622
1734979169, 3621016659, 7299838181
1734979170, 3621276166, 7497907205
1734979171, 3709609547, 7629936137
1734979172, 3709648092, 7651883295
1734979173, 3709673138, 7651899979
