Timestamp, RX_Bytes, TX_Bytes
1734786118, 0, 0
1734786119, 5394, 5516
1734786120, 47466, 47588
1734786121, 144553, 66409812
1734786122, 176223655, 464563027
1734786123, 176673595, 830978295
1734786124, 177092757, 1166248694
1734786125, 354789888, 1524722955
1734786126, 355267554, 1916126878
1734786127, 443465701, 2302682803
1734786128, 531632226, 2742340064
1734786129, 619999865, 3222203893
1734786130, 620308908, 3506306849
1734786131, 620807748, 3919196618
1734786132, 797588116, 4357482500
1734786133, 885863600, 4845516410
1734786134, 1062102964, 5248182331
1734786135, 1326489526, 5759828261
1734786136, 1680184363, 6649764918
1734786137, 1856315820, 7097188913
1734786138, 2032381743, 7646406491
1734786139, 2032685292, 7904801648
1734786140, 2120718097, 8161069362
1734786141, 2120759242, 8190690994
1734786142, 2120763950, 8190695636
1734786143, 2120778826, 8190735425
1734786144, 2120781256, 8190736881
