Timestamp, RX_Bytes, TX_Bytes
1734971355, 0, 0
1734971356, 45638, 44492
1734971357, 73286, 73125
1734971358, 81722, 80283
1734971359, 264824, 131972315
1734971360, 511380, 334508608
1734971361, 17110324, 573255760
1734971362, 264962442, 1029521979
1734971363, 265458478, 1428504601
1734971364, 265829830, 1697577034
1734971365, 266248403, 1985051588
1734971366, 354266346, 2161570442
1734971367, 442500589, 2623696938
1734971368, 442892473, 2918827586
1734971369, 443157008, 3130823147
1734971370, 619730590, 3438262133
1734971371, 620107738, 3745989110
1734971372, 708256979, 4156199518
1734971373, 796422070, 4477514834
1734971374, 973562285, 4954523847
1734971375, 973945841, 5338471911
1734971376, 974266247, 5535498331
1734971377, 1062361657, 5817142054
1734971378, 1062715479, 6080865624
1734971379, 1062747899, 6086366486
