Timestamp, RX_Bytes, TX_Bytes
1734781573, 0, 0
1734781574, 131631, 88928
1734781575, 218315, 635665
1734781576, 359213, 720381
1734781577, 125885296, 160206381
1734781578, 531607370, 858573002
1734781579, 976314817, 1553893950
1734781580, 976689477, 1783425541
1734781581, 1242977190, 2157221580
1734781582, 1686886667, 2879687185
1734781583, 1952570195, 3454597042
1734781584, 2129335127, 3828381098
1734781585, 2459418754, 4312038539
1734781586, 3015317810, 5081662749
1734781587, 3279636974, 5723566918
1734781588, 3694807239, 6315422920
1734781589, 3986219290, 6724367354
1734781590, 4341776627, 7400403426
1734781591, 4873740096, 8135747006
1734781592, 5346966110, 8839885857
1734781593, 5567572380, 9215034541
1734781594, 5879221711, 9937171219
1734781595, 6204041889, 10436016895
1734781596, 6380622124, 10905284139
1734781598, 6380787858, 10949601121
