Timestamp, RX_Bytes, TX_Bytes
1734791893, 0, 0
1734791894, 10426, 29972
1734791895, 24754, 44058
1734791896, 81334374, 67478724
1734791897, 177018623, 521474446
1734791898, 418401870, 855083971
1734791899, 883367669, 1563871786
1734791900, 883897884, 1958674975
1734791901, 1059677843, 2297859863
1734791902, 1148079672, 2755633501
1734791903, 1500743794, 3409973606
1734791904, 2030034499, 4201809993
1734791905, 2294765678, 4754018318
1734791906, 2382802789, 5043755839
1734791907, 2559265742, 5513515007
1734791908, 2735221365, 5987872767
1734791909, 2823305036, 6261113358
1734791910, 2911960035, 6748173956
1734791911, 2912399433, 7076933886
1734791912, 3171132637, 7569472315
1734791913, 3176828353, 7944231192
1734791914, 3177038388, 8054481162
1734791915, 3177174645, 8164856991
1734791916, 3177211036, 8186913979
1734791917, 3177220386, 8186923263
1734791918, 3177225682, 8186939385
1734791919, 3177263512, 8186977453
