Timestamp, RX_Bytes, TX_Bytes
1734961818, 0, 0
1734961819, 49676, 55812
1734961820, 59092, 65096
1734961821, 88947452, 175085988
1734961822, 176260134, 418652312
1734961823, 369397947, 966933982
1734961824, 530161954, 1425244741
1734961825, 794603698, 1837350520
1734961826, 1124719588, 2484888146
1734961827, 1300778154, 2924955229
1734961828, 1410914272, 3396661007
1734961829, 1675771820, 3793162648
1734961830, 1851983517, 4278274061
1734961831, 1852506782, 4706581247
1734961832, 1940588784, 5061021253
1734961833, 2205376593, 5475826924
1734961834, 2833250521, 6156864523
1734961835, 2998031117, 6929934546
1734961836, 3174915772, 7426447998
1734961837, 3175271638, 7681108602
1734961838, 3439160700, 8198169328
1734961839, 3703023721, 8642514937
1734961840, 3703196295, 8840386487
1734961841, 3703234915, 8840437715
1734961842, 3703267703, 8840470503
1734961843, 3703277805, 8840500208
1734961844, 3703287221, 8840516654
