Timestamp, RX_Bytes, TX_Bytes
1734800555, 0, 0
1734800556, 4642, 4642
1734800557, 25772, 32686
1734800558, 88473893, 175590502
1734800559, 521935645, 451114257
1734800560, 706419713, 1033703614
1734800561, 1134843715, 1705401953
1734800562, 1415520274, 2192518697
1734800563, 1593926981, 2631377316
1734800564, 1946258160, 3130252413
1734800565, 2123047359, 3674122798
1734800566, 2552250431, 4071515342
1734800567, 3097840946, 4997424004
1734800568, 3700759643, 5692249876
1734800569, 4048629214, 6289999634
1734800570, 4512055376, 7108744713
1734800571, 4512351650, 7324447639
1734800572, 4512664069, 7582458272
1734800573, 4601004399, 7852782093
1734800574, 4866405308, 8190685229
1734800575, 5073665008, 8535243685
1734800576, 5632339201, 9170678089
1734800578, 5749016619, 9545161474
1734800579, 5836933890, 9764606938
1734800580, 5836969832, 9764660754
1734800581, 5836983758, 9764674680
1734800582, 5836993670, 9764684632
