Timestamp, RX_Bytes, TX_Bytes
1734992573, 0, 0
1734992574, 37334, 45298
1734992575, 50850, 59056
1734992576, 207007, 110046296
1734992577, 176393508, 361024747
1734992578, 353501877, 782439799
1734992579, 629873457, 1123352882
1734992580, 883333858, 1761617349
1734992581, 1149655237, 2254083216
1734992582, 1238122595, 2763242726
1734992583, 1326866908, 3198393541
1734992584, 1568123459, 3599384589
1734992585, 1768115168, 4201316020
1734992586, 1856167670, 4491178487
1734992587, 1944357039, 4812984626
1734992588, 2120666173, 5204451080
1734992589, 2564118291, 5877077276
1734992590, 2564487467, 6118114520
1734992591, 2564874300, 6361223490
1734992592, 2743024006, 6647585109
1734992593, 3115681722, 7241499077
1734992594, 3183797431, 7527186181
1734992595, 3183806979, 7527195597
1734992596, 3183811687, 7527200239
1734992597, 3183816599, 7527205041
1734992598, 3183856297, 7527243887
1734992599, 3183871049, 7527284410
