Timestamp, RX_Bytes, TX_Bytes
1734805460, 0, 0
1734805461, 47454, 51964
1734805462, 80104, 79817
1734805463, 142068, 141081
1734805464, 264117701, 440117111
1734805465, 609957099, 840475529
1734805466, 793712216, 1385072379
1734805467, 883303651, 1610417827
1734805468, 971865013, 1985903401
1734805469, 1149216949, 2420444355
1734805470, 1315291620, 2683977805
1734805471, 1500989458, 3145179535
1734805472, 1589004188, 3365609828
1734805473, 1589281798, 3608553289
1734805474, 1677657529, 3700134101
1734805475, 1766294796, 4091760353
1734805476, 2030448007, 4619443237
1734805477, 2294522440, 5097357805
1734805478, 2471036943, 5509726709
1734805479, 2653979989, 5816059977
1734805480, 3000477076, 6479085990
1734805481, 3088499475, 6730349913
1734805482, 3088692528, 6839258694
1734805483, 3176717344, 7169702699
1734805484, 3177026034, 7390068582
1734805485, 3265195031, 7629436582
1734805486, 3353377139, 8020338789
1734805487, 3441277717, 8236869948
1734805488, 3617270816, 8556559492
1734805489, 3705598936, 8710503982
1734805490, 3705624036, 8710520764
1734805491, 3705661936, 8710563114
1734805492, 3705691844, 8710586846
1734805493, 3705705246, 8710598596
1734805494, 3705726076, 8710629154
1734805495, 3705797180, 8710698056
