Timestamp, RX_Bytes, TX_Bytes
1734792781, 0, 0
1734792782, 9740, 9658
1734792783, 37724, 46408
1734792784, 88403898, 175595613
1734792785, 88660347, 418020071
1734792786, 177209061, 682166904
1734792787, 265552070, 1056309756
1734792788, 353840910, 1349947513
1734792789, 603405593, 1760079492
1734792790, 618385675, 2218308590
1734792791, 724662757, 2480235905
1734792792, 883612464, 2939053723
1734792793, 883985185, 3238482856
1734792794, 1059853896, 3592795444
1734792795, 1062958504, 3845769494
1734792796, 1236420874, 4288287882
1734792797, 1324700379, 4664756601
1734792798, 1325012158, 4920999841
1734792799, 1413134380, 5238343247
1734792800, 1589143455, 5621764121
1734792801, 1743929721, 6137213984
1734792802, 1854411433, 6642023785
1734792803, 1942498617, 6928176391
1734792804, 2118332322, 7113850981
1734792805, 2118531750, 7257728095
1734792806, 2118536782, 7257733177
1734792807, 2118550840, 7257747103
1734792808, 2118564964, 7257769729
1734792809, 2118565592, 7257770397
1734792810, 2118580160, 7257785405
1734792811, 2118622436, 7257827711
1734792812, 2118629508, 7257833849
