Timestamp, RX_Bytes, TX_Bytes
1734792781, 0, 0
1734792782, 29568, 42906
1734792783, 40880, 53555
1734792784, 87947198, 151471577
1734792785, 265076286, 528161691
1734792786, 432914851, 792674630
1734792787, 529737385, 1166023500
1734792788, 793468392, 1584795739
1734792789, 1057362161, 2133931768
1734792790, 1146224424, 2477501307
1734792791, 1322355202, 2753372412
1734792792, 1498962970, 3257260815
1734792793, 1512175336, 3565308527
1734792794, 1941889657, 4266449911
1734792795, 2029944713, 4577476459
1734792796, 2118080546, 4753378147
1734792797, 2472247130, 5412886574
1734792798, 2560415894, 5852699666
1734792799, 2736786204, 6212468802
1734792800, 3001527815, 6625652498
1734792801, 3179210057, 7250952424
1734792802, 3357344145, 7625066190
1734792803, 3621934692, 8081081772
1734792804, 3710524405, 8359149245
1734792805, 3710658653, 8447168725
1734792806, 3710669675, 8447187857
1734792807, 3710724507, 8447237309
1734792808, 3710776719, 8447288477
1734792809, 3710793817, 8447297831
1734792810, 3710823131, 8447325939
1734792811, 3710858833, 8447363133
1734792812, 3710878019, 8447401201
