Timestamp, RX_Bytes, TX_Bytes
1734746095, 0, 0
1734746096, 9284, 9284
1734746097, 18568, 18568
1734746098, 98909, 112947
1734746099, 139746, 43984693
1734746100, 84491397, 110888547
1734746101, 236544682, 242646681
1734746102, 480279797, 484689864
1734746103, 516768972, 725940079
1734746104, 668972348, 858072634
1734746105, 775280711, 1091599190
1734746106, 792387373, 1252952501
1734746107, 866084816, 1275803993
1734746108, 968077202, 1473911858
1734746109, 1124308383, 1605696108
1734746110, 1223381049, 1869114842
1734746111, 1316934066, 2000787186
1734746112, 1393138580, 2154914616
1734746113, 1444925721, 2264646356
1734746114, 1577294968, 2453091748
1734746115, 1672466728, 2599342775
1734746116, 1672681565, 2769675724
1734746117, 1751552994, 2791683223
1734746118, 1844229394, 2944228982
1734746119, 1970655414, 3099263371
1734746120, 2024436458, 3406644081
1734746121, 2329402675, 3538539533
1734746122, 2438203034, 3780051488
1734746123, 2537868077, 4021584818
1734746124, 2552379141, 4197077095
1734746125, 2689798568, 4263263484
1734746126, 2867587668, 4514652850
1734746127, 2974143917, 4745098783
1734746128, 2992557493, 5009642706
1734746129, 3070466070, 5031679862
1734746130, 3166706855, 5207180359
1734746131, 3331357706, 5426648732
1734746132, 3576077166, 5690057824
1734746133, 3886969147, 5931790760
1734746134, 3943914499, 6292213033
1734746135, 4105092527, 6480734164
1734746136, 4137223102, 6875595192
1734746137, 4294339314, 7015584636
1734746138, 4396223369, 7205159294
1734746139, 4400874393, 7358666715
1734746140, 4400959758, 7424461856
1734746141, 4469679018, 7448620144
1734746142, 4488927899, 7644216116
1734746143, 4661407956, 7801894197
1734746144, 4664745598, 7951560655
1734746145, 4823942754, 8015413659
1734746146, 5058201699, 8215646628
1734746147, 5164272696, 8498838354
1734746148, 5273059936, 8720290911
1734746149, 5280369626, 8829951723
1734746150, 5280402252, 8829984613
1734746151, 5280411536, 8829993897
1734746152, 5280423130, 8830005277
